"","ensembl.id","Symbol","moduleColor","GS.AUC.urea","GS.prot.int","GS.carb.int","GS.fgf21.serum","GS.creat.D2","p.GS.AUC.urea","p.GS.prot.int","p.GS.carb.int","p.GS.fgf21.serum","p.GS.creat.D2","MM.paleturquoise","p.MM.paleturquoise","MM.maroon","p.MM.maroon","MM.darkseagreen4","p.MM.darkseagreen4","MM.lightsteelblue1","p.MM.lightsteelblue1","MM.cyan","p.MM.cyan","MM.darkred","p.MM.darkred","MM.darkslateblue","p.MM.darkslateblue","MM.skyblue1","p.MM.skyblue1","MM.skyblue2","p.MM.skyblue2","MM.plum2","p.MM.plum2","MM.darkorange","p.MM.darkorange","MM.mediumorchid","p.MM.mediumorchid","MM.grey","p.MM.grey"
"ENSMUSG00000112515","ENSMUSG00000112515",NA,"maroon",-0.400164229942307,-0.649708251884551,0.660405395503179,0.600059542554031,-0.369240575419962,0.0804180525131106,0.00193183510327152,0.00152832779498389,0.00515733298238931,0.109115042238418,0.410664909249685,0.072081593197408,0.830916561421271,5.70629935652363e-06,-0.260551227357616,0.267217080185395,-0.677612476664654,0.00102822815360949,-0.587311922960046,0.00647430166466604,-0.0249030049142115,0.916999364987473,0.565243957749359,0.00940032198424227,0.257268440992323,0.273508020857229,0.285850384301763,0.221805130169465,-0.0495945116612814,0.835510566559671,-0.224373766882129,0.341593346675697,-0.014213541355583,0.952574064892153,-0.202747068595034,0.391287457719011
"ENSMUSG00000003617","ENSMUSG00000003617","Cp","maroon",-0.467586999675961,-0.827609897748244,0.622000243520285,0.598208411990556,-0.537859965498882,0.037626610402817,6.70645118006105e-06,0.00340915153412657,0.00533355816095622,0.0144407407478914,0.487382996746562,0.0292790417139493,0.959737505708132,2.28121955965036e-11,-0.268702625125628,0.251992619003804,-0.625574878534848,0.00317766481636554,-0.617899979560152,0.00369174267217326,0.15035501280199,0.52691313169711,0.516694410745082,0.0196666350000136,0.354469773841565,0.125163512068752,0.0849679391308794,0.721716214446771,-0.0367611596601368,0.87771496807882,-0.159961393869413,0.500524049251585,-0.0543197521287125,0.820073194960517,-0.0322110194295224,0.892761345125796
"ENSMUSG00000036672","ENSMUSG00000036672","Cenpt","maroon",-0.442407997168853,-0.734137221464234,0.587408791030229,0.596899696373404,-0.695469283125051,0.0507875194040968,0.000228618621780877,0.0064633444531806,0.00546111477888602,0.000662822958514892,0.326706185934711,0.159745637917298,0.680376322185461,0.000962522733481358,-0.191447621196278,0.418761776792137,-0.545399462496548,0.0128755250156669,-0.535285674189885,0.0150089325628106,0.0764853153586889,0.74859087329442,0.446783368707329,0.04827896280793,0.221017743497331,0.349051771937693,0.316601335311634,0.173827194808885,0.0716338180495665,0.7640900397708,-0.222067859747452,0.346707908818857,-0.0677155017063488,0.776671624192907,-0.188284426004133,0.426634253384079
"ENSMUSG00000040213","ENSMUSG00000040213","Kyat3","maroon",-0.539201651410181,-0.533982513131215,0.311398470980069,0.573758487561682,-0.369649430423199,0.014151544179214,0.0153033367901937,0.181398151129883,0.00816507296483725,0.108693095667821,0.785646862170957,4.04334621510954e-05,0.784235922981771,4.26543897105521e-05,-0.665086321349962,0.00137548064028373,-0.752248640873308,0.000130316960295629,-0.334114789679672,0.149936042613426,0.153926858648741,0.517025963610458,0.70058836849725,0.00058112592274518,-0.0628331033292044,0.79242375464475,0.339322350267174,0.143297214468627,-0.0852339853090033,0.720878200784521,0.20387188636721,0.3886085024598,0.392632132770365,0.0868238519511384,-0.00462182934931504,0.984571038148906
"ENSMUSG00000095143","ENSMUSG00000095143","Hsd3b4","maroon",-0.499052683780803,-0.580165154309114,0.353714849199648,0.567751538037661,-0.448940297769618,0.0250877779905321,0.00732582125675402,0.126026492881704,0.00902171684572212,0.0470778418509219,0.715111388634063,0.000394209941328971,0.820737462187471,9.28324078918404e-06,-0.6373175776912,0.00250707929699349,-0.7927524530597,3.07004934405984e-05,-0.322439857392831,0.165591386387037,0.120916036444126,0.611590772142314,0.719773417494643,0.000346323185655935,-0.141514310701011,0.551757378668059,0.424554105400364,0.0620695163198842,0.0264610231885796,0.911825357347258,0.136459863969952,0.566193263891612,0.410757565444159,0.0720110342189285,-0.120749298866755,0.61208562900847
"ENSMUSG00000090817","ENSMUSG00000090817","Hsd3b9","maroon",-0.513323726394669,-0.570065064584091,0.347518324249261,0.551077034145865,-0.427317747236546,0.0206226717217869,0.00868351743173611,0.133270420475987,0.0117897118675217,0.0602094946064036,0.688236934952362,0.00079468950823018,0.831137042045368,5.64449493459198e-06,-0.601862863250615,0.00499030157653927,-0.820639826215338,9.32530429346748e-06,-0.407591573743753,0.0744514029662915,0.131656221022517,0.580064198478158,0.752976248798199,0.000127283341619993,-0.119276049037683,0.616465065828239,0.431192848994073,0.0576728725216872,0.046749789248491,0.84483265788777,0.0550705580634761,0.817626015855084,0.364865416815412,0.113704596321603,-0.0746839003190829,0.754335402309103
"ENSMUSG00000030103","ENSMUSG00000030103","Bhlhe40","maroon",-0.43254916018925,-0.710758238568275,0.55519273953778,0.550371683321997,-0.499124657680243,0.0568044818953219,0.000443900327117973,0.0110499135057113,0.0119204293338735,0.0250634879640175,0.218384678989288,0.354969071121636,0.820084973083173,9.56750420041027e-06,0.0290227746868948,0.903325576725325,-0.448510111634321,0.0473155463148828,-0.776862565905381,5.60567045146109e-05,0.239239642530283,0.309690548429645,0.33371802596172,0.150450486878585,0.52000214275636,0.0187631270952821,-0.120578606910436,0.612592389586472,-0.157051657109585,0.508448944424286,-0.422287514312165,0.0636271403600174,-0.345464760261762,0.13573473297409,-0.0206808371517519,0.931036309989243
"ENSMUSG00000061119","ENSMUSG00000061119","Prcp","maroon",-0.429739945780963,-0.777387997809332,0.702555044550629,0.544544750041036,-0.578692448354524,0.0586142460134071,5.49942779984085e-05,0.000552097055062051,0.0130457558993997,0.00751219553564566,0.285396985675994,0.222571352930719,0.79500467304008,2.80727754305441e-05,-0.0942435793767219,0.692685327670867,-0.504103117628658,0.0234279080638408,-0.550023433787009,0.0119853987844573,-0.00347751525984044,0.988390792414126,0.362872594110905,0.115840449707563,0.441506074319881,0.0513167894163281,0.100884155374053,0.672149493480105,0.00496614584309937,0.983421759123305,-0.234544423080816,0.319565717479232,-0.179216572302012,0.449633006335665,-0.184757923972743,0.435503031602426
"ENSMUSG00000039954","ENSMUSG00000039954","Stk32a","maroon",-0.67343478448634,-0.717082361517866,0.387686916306375,0.537997605329783,-0.545736747526814,0.00113470445121018,0.000373319111975763,0.0912293251773069,0.01441085577786,0.0128088442691248,0.437926429783652,0.053459076815208,0.701542339118473,0.000566887330840847,-0.282837212917857,0.226929705600901,-0.511232154722313,0.0212342601434481,-0.557792603095076,0.0106023072879399,0.307629065066534,0.187020831314306,0.473926183857135,0.0347743076305638,0.169124500925421,0.475964965536165,-0.00293404779200399,0.990204992979988,-0.170469256739381,0.472412341795357,-0.148705009644227,0.531510044021209,-0.00504457916097414,0.983159964286907,0.295931334890923,0.205213870884899
"ENSMUSG00000028970","ENSMUSG00000028970","Abcb1b","maroon",-0.294022025125636,-0.753814736541568,0.686780521472294,0.529622847111529,-0.537695900654877,0.20829101444533,0.000123862762778122,0.000823764328036165,0.0163221379517743,0.0144764283622757,0.299896365393855,0.198920460288813,0.921442281882791,8.11645013018723e-09,-0.127970945190341,0.590803282245582,-0.59546794569677,0.00560352923595743,-0.561747487121745,0.00994972068483962,-0.0210143815515449,0.929926647778982,0.457133510039696,0.0427232941176323,0.321540299907118,0.166842482226746,0.119523685964592,0.615728053232221,-0.0933599792086318,0.69543384052746,-0.270016999200251,0.249590619135096,-0.0986328437500052,0.679087468510526,-0.300167989949656,0.198494102699932
