"","ensembl.id","Symbol","moduleColor","GS.FGF21","MM.darkred","MM.salmon4"
"139","ENSMUSG00000017774","Myo1c","salmon4",0.829247981124855,0.662379007590585,0.97309409129356
"140","ENSMUSG00000073079","Srp54a","salmon4",0.827496694772355,0.903430393477234,0.720895005621408
"141","ENSMUSG00000026355","Mcm6","salmon4",0.827352886997957,0.820854790607668,0.752985171837965
"142","ENSMUSG00000028339","Col15a1","salmon4",0.827205711194527,0.694900154093809,0.844702026255396
"143","ENSMUSG00000027429","Sec23b","salmon4",0.827075564043098,0.839709651330685,0.813858055183826
"144","ENSMUSG00000042626","Shc1","salmon4",0.827054985185745,0.879041514609617,0.84824454977748
"145","ENSMUSG00000026890","Lhx6","salmon4",0.826704571573452,0.812985308401182,0.744128245911977
"146","ENSMUSG00000024359","Hspa9","salmon4",0.82660195596795,0.777064638218407,0.892475790728836
"147","ENSMUSG00000001424","Snd1","salmon4",0.826046085380854,0.832300914040145,0.855434834107198
"148","ENSMUSG00000034893","Cog3","salmon4",0.824938821441863,0.776828398033054,0.91006860524699
"149","ENSMUSG00000033565","Rbfox2","salmon4",0.824836337911294,0.60371912624909,0.960683269905153
"150","ENSMUSG00000055782","Abcd2","salmon4",0.824486098804511,0.602877053370495,0.768067351059428
"151","ENSMUSG00000042476","Abcb4","salmon4",0.824016493423577,0.703125498973176,0.945932194103177
"152","ENSMUSG00000033326","Kdm4a","salmon4",0.823944268351629,0.788991936596708,0.854463470376168
"153","ENSMUSG00000037405","Icam1","salmon4",0.823790982944786,0.706808055937567,0.759173493896276
"154","ENSMUSG00000032350","Gclc","salmon4",0.823758228536983,0.776264258560388,0.759242797715158
"155","ENSMUSG00000026074","Map4k4","salmon4",0.823085703438512,0.83291813304033,0.865218132427786
"156","ENSMUSG00000025408","Ddit3","salmon4",0.822674962368137,0.831124208876818,0.740978005807637
"157","ENSMUSG00000017167","Cntnap1","salmon4",0.822276896809575,0.855595894451469,0.862460744128424
"158","ENSMUSG00000033732","Sf3b3","salmon4",0.822209808305074,0.830243507536083,0.889286094228375
"159","ENSMUSG00000030189","Ybx3","salmon4",0.822111165032704,0.74327555685819,0.745554144480281
"160","ENSMUSG00000069565","Dazap1","salmon4",0.821619777670317,0.747732523818612,0.739496886679729
"161","ENSMUSG00000020448","Rnf185","salmon4",0.821282833742631,0.877272133957382,0.837420835846345
"162","ENSMUSG00000047907","Tshz2","salmon4",0.821070959216983,0.587840831449059,0.911450980978
"163","ENSMUSG00000053693","Mast1","salmon4",0.820832046397874,0.775775088472758,0.838706263656878
"164","ENSMUSG00000031434","Morc4","salmon4",0.820669708382852,0.848534837170544,0.808492938132272
"165","ENSMUSG00000023019","Gpd1","salmon4",0.820402071922562,0.668930049834394,0.92281045330485
"166","ENSMUSG00000033581","Igf2bp2","salmon4",0.819016729053714,0.804890770569026,0.842765560570518
"167","ENSMUSG00000033885","Pxk","salmon4",0.818399823216184,0.781283099256442,0.884133479595771
"168","ENSMUSG00000034994","Eef2","salmon4",0.817340608924923,0.824803834606678,0.813723082203135
"169","ENSMUSG00000024312","Wdr46","salmon4",0.817011983625698,0.818758300181093,0.891963188050317
"170","ENSMUSG00000042507","Mideas","salmon4",0.816655092149047,0.61394604850182,0.939874283559371
"171","ENSMUSG00000032220","Myo1e","salmon4",0.816320852617302,0.676362212605852,0.91222333800134
"172","ENSMUSG00000016664","Pacsin2","salmon4",0.815986738834144,0.746796924200633,0.918232360877442
"173","ENSMUSG00000000134","Tfe3","salmon4",0.815731324166904,0.792415232461437,0.900167031270919
"174","ENSMUSG00000026970","Rbms1","salmon4",0.815684876652309,0.772428074182624,0.777477820166023
"175","ENSMUSG00000039234","Sec24d","salmon4",0.815107224819267,0.770097233975998,0.904284868353495
"176","ENSMUSG00000030435","U2af2","salmon4",0.815090345471266,0.756580791667221,0.733795344831
"177","ENSMUSG00000056076","Eif3b","salmon4",0.814295058588478,0.718623325437313,0.927692331547528
"178","ENSMUSG00000079108","Srp54c","salmon4",0.813928468117105,0.879898868029883,0.714816737765771
"179","ENSMUSG00000025132","Arhgdia","salmon4",0.813803417760128,0.822307848931785,0.846012918031881
"180","ENSMUSG00000031960","Aars","salmon4",0.813528320779195,0.634111758838086,0.92247142672619
"181","ENSMUSG00000030302","Atp2b2","salmon4",0.813269139218242,0.827970967482804,0.759086589802434
"182","ENSMUSG00000040688","Tbl3","salmon4",0.812860410050155,0.818928155407055,0.835212192461224
"183","ENSMUSG00000030695","Aldoa","salmon4",0.812519071507451,0.845986342671136,0.801397031765589
"184","ENSMUSG00000032902","Slc16a1","salmon4",0.812209577676331,0.857924200548965,0.725964139389648
"185","ENSMUSG00000005268","Prlr","salmon4",0.811337371387259,0.617545014910868,0.83041443934398
"186","ENSMUSG00000022031","Elp3","salmon4",0.810570884267773,0.833535744540221,0.812068933910441
"187","ENSMUSG00000030082","Sec61a1","salmon4",0.807596977582961,0.809694816156265,0.864975057347349
"188","ENSMUSG00000027610","Gss","salmon4",0.80718740904595,0.687110890676732,0.856937030111068
"189","ENSMUSG00000030108","Slc6a13","salmon4",0.807107309641253,0.657591295704067,0.933347328455978
"190","ENSMUSG00000046352","Gjb2","salmon4",0.807097190591961,0.765670334034745,0.795548933967485
"191","ENSMUSG00000032606","Nicn1","salmon4",0.806657670829113,0.883779569180478,0.764862990694319
"192","ENSMUSG00000048578","Mlec","salmon4",0.80607896434642,0.830698997655131,0.812379907390447
"193","ENSMUSG00000033021","Gmppa","salmon4",0.805455456273029,0.779921352754331,0.741243602232549
"194","ENSMUSG00000037621","Atoh8","salmon4",0.805361501785473,0.632714557603158,0.715152876191277
"195","ENSMUSG00000023079","Gtf2ird1","salmon4",0.805057152581919,0.81165818066369,0.824353412579759
"196","ENSMUSG00000032534","Cep63","salmon4",0.804810116318038,0.671064627868074,0.863407137180675
"197","ENSMUSG00000023307","Marchf5","salmon4",0.803677198948632,0.805569012661145,0.639778971455653
"198","ENSMUSG00000006169","Clint1","salmon4",0.802955270668901,0.861048690955229,0.809748460752776
"199","ENSMUSG00000040675","Mthfd1l","salmon4",0.802561664559743,0.587616464260166,0.828410572083755
"200","ENSMUSG00000056131","Pgm3","salmon4",0.801981108109671,0.715489763953758,0.886418990280954
"201","ENSMUSG00000008373","Prpf31","salmon4",0.80168151161887,0.667141668838199,0.886314714533929
"202","ENSMUSG00000003813","Rad23a","salmon4",0.801189376992463,0.703133260493713,0.879660728330526
"203","ENSMUSG00000053841","Txlna","salmon4",0.800871133925456,0.651212488579079,0.984131295650959
"204","ENSMUSG00000040511","Pvr","salmon4",0.800438709188486,0.876336151374771,0.754826944801343
