"","ensembl.id","Symbol","moduleColor","GS.fgf21.serum","MM.maroon","MM.paleturquoise"
"133","ENSMUSG00000026694","Eef1aknmt","paleturquoise",0.656477338751919,0.583010421518899,0.751905323426134
"134","ENSMUSG00000022614","Lmf2","paleturquoise",0.655549362702889,0.497297465200023,0.875855399548727
"135","ENSMUSG00000034681","Rnps1","paleturquoise",0.655447159542113,0.572612121490903,0.821223605387452
"136","ENSMUSG00000030822","Prr14","paleturquoise",0.65495172325718,0.520988723310598,0.489632405914851
"137","ENSMUSG00000063796","Slc22a8","paleturquoise",0.654861446070714,0.782844371316183,0.59763901377411
"138","ENSMUSG00000047878","A4galt","paleturquoise",0.653927761691744,0.627956410667233,0.805862108625971
"139","ENSMUSG00000027551","Zfp64","paleturquoise",0.65339995287569,0.316595145804415,0.818948852971306
"140","ENSMUSG00000020549","Elac2","paleturquoise",0.65336966933801,0.342854383197994,0.478519897712375
"141","ENSMUSG00000001518","Itfg2","paleturquoise",0.653242036248462,0.595676718276394,0.808159714819963
"142","ENSMUSG00000002871","Tpra1","paleturquoise",0.65318744289434,0.536438679695049,0.794414141652475
"143","ENSMUSG00000038542","Pcid2","paleturquoise",0.652740705608355,0.418381957020162,0.636928304622223
"144","ENSMUSG00000023110","Prmt5","paleturquoise",0.652308619835499,0.585448336760856,0.830886665350507
"145","ENSMUSG00000041477","Dcp1b","paleturquoise",0.651833798704666,0.532360285063858,0.591249007118879
"146","ENSMUSG00000091639","Gm3756","paleturquoise",0.651225536996844,0.422790772693917,0.570539524705543
"147","ENSMUSG00000029102","Hgfac","paleturquoise",0.650895138850437,0.396248731346884,0.875701878213181
"148","ENSMUSG00000002968","Med25","paleturquoise",0.650021166728543,0.174429694987818,0.846021200402686
"149","ENSMUSG00000073758","Sh3d21","paleturquoise",0.649743774910031,0.448800685252976,0.883223052782355
"150","ENSMUSG00000032387","Rbpms2","paleturquoise",0.649588550438798,0.696529537913238,0.559755972868952
"151","ENSMUSG00000018661","Cog1","paleturquoise",0.649049086553868,0.517756671914786,0.450800094171146
"152","ENSMUSG00000001120","Pcbp3","paleturquoise",0.647827354581566,0.502060856333824,0.633040320394433
"153","ENSMUSG00000029032","Arhgef16","paleturquoise",0.646679734641641,0.136868206507956,0.575614452671985
"154","ENSMUSG00000007029","Vars","paleturquoise",0.645604515870528,0.382491729907728,0.900661030799209
"155","ENSMUSG00000079501","Gm5138","paleturquoise",0.645351810721061,0.627287645014964,0.83969904914033
"156","ENSMUSG00000001552","Jup","paleturquoise",0.644525512300042,0.423506540837866,0.782075103466547
"157","ENSMUSG00000034152","Exoc3","paleturquoise",0.64440789731192,0.412665984252761,0.616621865077264
"158","ENSMUSG00000019261","Map1s","paleturquoise",0.644202774230945,0.474847613732481,0.890693010209931
"159","ENSMUSG00000030600","Lrfn1","paleturquoise",0.644160032939357,0.0614678815649269,0.690852311898855
"160","ENSMUSG00000059409","Ppp2r5d","paleturquoise",0.643963007866,0.415361642142815,0.870064677322439
"161","ENSMUSG00000046679","C87436","paleturquoise",0.64366509615228,0.517725590355963,0.65720950365886
"162","ENSMUSG00000031360","Ctps2","paleturquoise",0.643485067217137,0.762322964486489,0.700952190291012
"163","ENSMUSG00000001472","Tcf25","paleturquoise",0.642058354754317,0.438790739188619,0.928602516902098
"164","ENSMUSG00000038965","Ube2l3","paleturquoise",0.641885156810763,0.458058362950347,0.799634472411988
"165","ENSMUSG00000042099","Kank3","paleturquoise",0.641838430151265,0.740299788212165,0.842064474663014
"166","ENSMUSG00000094737","Gm17045","paleturquoise",0.641376324901192,0.607014888008119,0.805644142955742
"167","ENSMUSG00000025364","Pa2g4","paleturquoise",0.640569038596088,0.540976567162904,0.796286765486827
"168","ENSMUSG00000045665","Mfsd5","paleturquoise",0.639566892114059,0.364546062039669,0.945195888975755
"169","ENSMUSG00000057788","Ddx49","paleturquoise",0.63926640370626,0.559924339389581,0.769887484029541
"170","ENSMUSG00000029086","Prom1","paleturquoise",0.638309783146947,0.750381126348593,0.546545428916178
"171","ENSMUSG00000042178","Armc5","paleturquoise",0.638225964658974,0.42386680070641,0.851229062412029
"172","ENSMUSG00000045917","Tmem268","paleturquoise",0.637878865639894,0.690508510287438,0.764546092206411
